Time (s),Voltage (V),Current (A)
0.0,0.04875,9.2e-09
0.01,0.05,-1e-10
0.02,0.04999000000000001,-2e-09
0.03,0.04999000000000001,-2.1e-09
0.04,0.04999000000000001,-2e-09
0.05,0.04999000000000001,-8e-10
0.06,0.04999000000000001,3e-10
0.07,0.04999000000000001,1.6e-09
0.08,0.04999000000000001,1.3e-09
0.09,0.04999000000000001,1.3e-09
0.1,-0.02926,-5.6000000000000005e-09
0.11,-0.030000000000000002,-2e-09
0.12000000000000001,-0.030010000000000002,-2.4e-09
0.13,-0.030000000000000002,-2.1e-09
0.14,-0.030010000000000002,-1e-09
0.15000000000000002,-0.030010000000000002,-1e-10
0.16,-0.030000000000000002,1.2e-09
0.17,-0.030000000000000002,9e-10
0.18,-0.030010000000000002,1e-09
0.19,-0.030000000000000002,1.1000000000000001e-09
0.2,0.09751000000000001,1.85e-08
0.21000000000000002,0.09999000000000001,1.1000000000000001e-09
0.22,0.09999000000000001,1e-09
0.23,0.09999000000000001,1e-09
0.24000000000000002,0.09999000000000001,1.2e-09
0.25,0.09999000000000001,2e-09
0.26,0.1,4.1e-09
0.27,0.09999000000000001,3.4000000000000003e-09
0.28,0.09999000000000001,2.8000000000000003e-09
0.29000000000000004,0.1,1.6e-09
0.30000000000000004,0.01949,4.8e-09
0.31000000000000005,0.01999,2e-09
0.32000000000000006,0.02,3.8e-09
0.33000000000000007,0.01999,3.5000000000000003e-09
0.34,0.02,2.6e-09
0.35000000000000003,0.01999,1.5e-09
0.36000000000000004,0.01999,2e-10
0.37000000000000005,0.02,1e-10
0.38000000000000006,0.02,2e-10
0.39,0.02,0.0
0.4,0.14622000000000002,2.81e-08
0.41000000000000003,0.15000000000000002,2.6e-09
0.42000000000000004,0.15000000000000002,3.5000000000000003e-09
0.43000000000000005,0.15000000000000002,3.8e-09
0.44,0.15000000000000002,2.7e-09
0.45,0.15000000000000002,1.2e-09
0.46,0.15000000000000002,2e-10
0.47000000000000003,0.15000000000000002,0.0
0.48000000000000004,0.15000000000000002,2e-10
0.49,0.15000000000000002,2e-10
0.5,0.06825,1.6100000000000002e-08
0.51,0.07,3.6e-09
0.52,0.07,2.4e-09
0.53,0.07,1.3e-09
0.54,0.07,0.0
0.55,0.07,1e-10
0.56,0.07,2e-10
0.5700000000000001,0.07,1e-10
0.58,0.06999000000000001,-5e-10
0.59,0.07,-1.7000000000000001e-09
0.6,0.19502000000000003,3.6e-08
0.61,0.19999000000000003,4e-10
0.62,0.2,4e-10
0.63,0.2,4e-10
0.64,0.2,-1e-10
0.65,0.2,-7.000000000000001e-10
0.6599999999999999,0.19999000000000003,-2.7e-09
0.6699999999999999,0.2,-2.3e-09
0.6799999999999999,0.19999000000000003,-1.6e-09
0.69,0.2,-4e-10
0.7,0.11701,2.15e-08
0.71,0.12000000000000001,1.3e-09
