Time (s),Voltage (V),Current (A)
0.0,0.04875,6.3e-09
0.001,0.05,-2.5e-09
0.002,0.05,-9e-10
0.003,0.05,2e-10
0.004,0.05,1.2e-09
0.005,0.05,9e-10
0.006,0.05,9e-10
0.007,0.05,1.2e-09
0.008,0.05,1.6e-09
0.009000000000000001,0.05,3.6e-09
0.01,0.05,3.5000000000000003e-09
0.011,0.05,3.5000000000000003e-09
0.012,0.05,2e-09
0.013000000000000001,0.05,9e-10
0.014,0.05,-1e-10
0.015,0.05,2e-10
0.016,0.04999000000000001,2e-10
0.017,0.05,-1e-10
0.018000000000000002,0.05,-4e-10
0.019,0.05,-2.7e-09
0.02,0.05,-2.4e-09
0.021,0.05,-2.5e-09
0.022,0.05,-8e-10
0.023,0.05,2e-10
0.024,0.05,1.4000000000000001e-09
0.025,0.05,1e-09
0.026000000000000002,0.05,9e-10
0.027,0.04999000000000001,1.3e-09
0.028,0.05,1.5e-09
0.029,0.05,3.5000000000000003e-09
0.03,0.05,3.3e-09
0.031,0.05,3.4000000000000003e-09
0.032,0.05,1.9e-09
0.033,0.05,9e-10
0.034,0.05,-1e-10
0.035,0.05,3e-10
0.036000000000000004,0.05,2e-10
0.037,0.05,-1e-10
0.038,0.05,-5e-10
0.039,0.05,-2.5e-09
0.04,0.05,-2.3e-09
0.041,0.05,-2.5e-09
0.042,0.05,-9e-10
0.043000000000000003,0.05,1e-10
0.044,0.05,1.1000000000000001e-09
0.045,0.05,8e-10
0.046,0.05,9e-10
0.047,0.05,1.4000000000000001e-09
0.048,0.05,1.5e-09
0.049,0.05,3.5000000000000003e-09
0.05,0.05,3.4000000000000003e-09
0.051000000000000004,0.05,3.4000000000000003e-09
0.052000000000000005,0.05,1.6e-09
0.053,0.05,8e-10
0.054,0.05,-1e-10
0.055,0.05,1e-10
0.056,0.05,0.0
0.057,0.05,-1e-10
0.058,0.05,-5e-10
0.059000000000000004,0.05,-2.5e-09
0.06,0.05,-2.2000000000000003e-09
0.061,0.05,-2.6e-09
0.062,0.05,-8e-10
0.063,0.05,2e-10
0.064,0.05,1.3e-09
0.065,0.05,1.1000000000000001e-09
0.066,0.05,1.1000000000000001e-09
0.067,0.05,1.3e-09
0.068,0.05,1.4000000000000001e-09
0.069,0.04999000000000001,3.6e-09
0.07,0.04999000000000001,3.6e-09
0.07100000000000001,0.05,3.5000000000000003e-09
0.07200000000000001,0.05,2e-09
0.073,0.05,1.1000000000000001e-09
0.074,0.05,1e-10
0.075,0.05,2e-10
0.076,0.05,1e-10
0.077,0.05,-1e-10
0.078,0.05,-4e-10
0.079,0.05,-2.5e-09
0.08,0.05,-2.3e-09
0.081,0.05,-2.3e-09
0.082,0.04999000000000001,-7.000000000000001e-10
0.083,0.05,3e-10
0.084,0.05,1.3e-09
0.085,0.05,1e-09
0.08600000000000001,0.05,9e-10
0.08700000000000001,0.05,1.5e-09
0.088,0.05,1.6e-09
0.089,0.05,3.8e-09
0.09,0.05,3.8e-09
0.091,0.05,3.6e-09
0.092,0.05,2.2000000000000003e-09
0.093,0.05,1e-09
0.094,0.05,0.0
0.095,0.05,3e-10
0.096,0.05,2e-10
0.097,0.05,-1e-10
0.098,0.05,-4e-10
0.099,0.05,-2.5e-09
0.1,-0.04752000000000001,-2.01e-08
0.101,-0.050010000000000006,-2.4e-09
0.10200000000000001,-0.050010000000000006,-8e-10
