Time (s),Voltage (V),Current (A)
0.0,0.0,0.0
0.001,0.12558103905862675,0.0
0.002,0.2506664671286085,0.0
0.003,0.37476262917144926,0.0
0.004,0.4973797743297096,0.0
0.005,0.6180339887498948,0.0
0.006,0.736249105369356,0.0
0.007,0.8515585831301454,0.0
0.008,0.9635073482034306,0.0
0.009000000000000001,1.0716535899579933,0.0
0.01,1.1755705045849463,0.0
0.011,1.2748479794973795,0.0
0.012,1.3690942118573775,0.0
0.013000000000000001,1.457937254842823,0.0
0.014,1.5410264855515785,0.0
0.015,1.618033988749895,0.0
0.016,1.6886558510040302,0.0
0.017,1.7526133600877274,0.0
0.018000000000000002,1.8096541049320392,0.0
0.019,1.859552971776503,0.0
0.02,1.902113032590307,0.0
0.021,1.9371663222572622,0.0
0.022,1.9645745014573774,0.0
0.023,1.9842294026289558,0.0
0.024,1.9960534568565431,0.0
0.025,2.0,0.0
0.026000000000000002,1.9960534568565431,0.0
0.027,1.9842294026289555,0.0
0.028,1.9645745014573772,0.0
0.029,1.9371663222572622,0.0
0.03,1.902113032590307,0.0
0.031,1.859552971776503,0.0
0.032,1.809654104932039,0.0
0.033,1.752613360087727,0.0
0.034,1.68865585100403,0.0
0.035,1.618033988749895,0.0
0.036000000000000004,1.5410264855515785,0.0
0.037,1.4579372548428229,0.0
0.038,1.369094211857377,0.0
0.039,1.274847979497379,0.0
0.04,1.1755705045849465,0.0
0.041,1.0716535899579933,0.0
0.042,0.9635073482034304,0.0
0.043000000000000003,0.851558583130145,0.0
0.044,0.7362491053693555,0.0
0.045,0.6180339887498942,0.0
0.046,0.49737977432970965,0.0
0.047,0.37476262917144915,0.0
0.048,0.2506664671286082,0.0
0.049,0.12558103905862628,0.0
0.05,-6.432490598706546e-16,0.0
0.051000000000000004,-0.1255810390586267,0.0
0.052000000000000005,-0.25066646712860857,0.0
0.053,-0.37476262917144954,0.0
0.054,-0.49737977432971003,0.0
0.055,-0.6180339887498955,0.0
0.056,-0.7362491053693566,0.0
0.057,-0.8515585831301453,0.0
0.058,-0.9635073482034308,0.0
0.059000000000000004,-1.0716535899579935,0.0
0.06,-1.1755705045849467,0.0
0.061,-1.27484797949738,0.0
0.062,-1.3690942118573775,0.0
0.063,-1.457937254842823,0.0
0.064,-1.5410264855515787,0.0
0.065,-1.6180339887498947,0.0
0.066,-1.6886558510040306,0.0
0.067,-1.7526133600877272,0.0
0.068,-1.8096541049320396,0.0
0.069,-1.859552971776503,0.0
0.07,-1.902113032590307,0.0
0.07100000000000001,-1.9371663222572624,0.0
0.07200000000000001,-1.9645745014573774,0.0
0.073,-1.9842294026289558,0.0
0.074,-1.9960534568565431,0.0
0.075,-2.0,0.0
0.076,-1.9960534568565431,0.0
0.077,-1.9842294026289558,0.0
0.078,-1.9645745014573772,0.0
0.079,-1.9371663222572622,0.0
0.08,-1.9021130325903073,0.0
0.081,-1.8595529717765025,0.0
0.082,-1.8096541049320392,0.0
0.083,-1.7526133600877267,0.0
0.084,-1.68865585100403,0.0
0.085,-1.618033988749894,0.0
0.08600000000000001,-1.541026485551578,0.0
0.08700000000000001,-1.457937254842823,0.0
0.088,-1.3690942118573766,0.0
0.089,-1.2748479794973793,0.0
0.09,-1.1755705045849452,0.0
0.091,-1.0716535899579926,0.0
0.092,-0.9635073482034306,0.0
0.093,-0.8515585831301444,0.0
0.094,-0.7362491053693557,0.0
0.095,-0.6180339887498936,0.0
0.096,-0.497379774329709,0.0
0.097,-0.37476262917144937,0.0
0.098,-0.2506664671286076,0.0
0.099,-0.12558103905862653,0.0
0.1,0.0,0.0
0.101,0.12558103905862675,0.0
0.10200000000000001,0.2506664671286085,0.0
0.10300000000000001,0.37476262917144926,0.0
0.10400000000000001,0.4973797743297096,0.0
0.105,0.6180339887498948,0.0
0.106,0.736249105369356,0.0
0.107,0.8515585831301454,0.0
0.108,0.9635073482034306,0.0
0.109,1.0716535899579933,0.0
0.11,1.1755705045849463,0.0
0.111,1.2748479794973795,0.0
0.112,1.3690942118573775,0.0
0.113,1.457937254842823,0.0
0.114,1.5410264855515785,0.0
0.115,1.618033988749895,0.0
0.116,1.6886558510040302,0.0
0.117,1.7526133600877274,0.0
0.11800000000000001,1.8096541049320392,0.0
0.11900000000000001,1.859552971776503,0.0
0.12,1.902113032590307,0.0
0.121,1.9371663222572622,0.0
0.122,1.9645745014573774,0.0
0.123,1.9842294026289558,0.0
0.124,1.9960534568565431,0.0
0.125,2.0,0.0
0.126,1.9960534568565431,0.0
0.127,1.9842294026289555,0.0
0.128,1.9645745014573772,0.0
0.129,1.9371663222572622,0.0
0.13,1.902113032590307,0.0
0.131,1.859552971776503,0.0
0.132,1.809654104932039,0.0
0.133,1.752613360087727,0.0
0.134,1.68865585100403,0.0
0.135,1.618033988749895,0.0
0.136,1.5410264855515785,0.0
0.137,1.4579372548428229,0.0
0.138,1.369094211857377,0.0
0.139,1.274847979497379,0.0
0.14,1.1755705045849465,0.0
0.14100000000000001,1.0716535899579933,0.0
0.14200000000000002,0.9635073482034304,0.0
0.14300000000000002,0.851558583130145,0.0
0.14400000000000002,0.7362491053693555,0.0
0.145,0.6180339887498942,0.0
0.146,0.49737977432970965,0.0
0.147,0.37476262917144915,0.0
0.148,0.2506664671286082,0.0
0.149,0.12558103905862628,0.0
0.15,-6.432490598706546e-16,0.0
0.151,-0.1255810390586267,0.0
0.152,-0.25066646712860857,0.0
0.153,-0.37476262917144954,0.0
0.154,-0.49737977432971003,0.0
0.155,-0.6180339887498955,0.0
0.156,-0.7362491053693566,0.0
0.157,-0.8515585831301453,0.0
0.158,-0.9635073482034308,0.0
0.159,-1.0716535899579935,0.0
0.16,-1.1755705045849467,0.0
0.161,-1.27484797949738,0.0
0.162,-1.3690942118573775,0.0
0.163,-1.457937254842823,0.0
0.164,-1.5410264855515787,0.0
0.165,-1.6180339887498947,0.0
0.166,-1.6886558510040306,0.0
0.167,-1.7526133600877272,0.0
0.168,-1.8096541049320396,0.0
0.169,-1.859552971776503,0.0
0.17,-1.902113032590307,0.0
0.171,-1.9371663222572624,0.0
0.17200000000000001,-1.9645745014573774,0.0
0.17300000000000001,-1.9842294026289558,0.0
0.17400000000000002,-1.9960534568565431,0.0
0.17500000000000002,-2.0,0.0
0.176,-1.9960534568565431,0.0
0.177,-1.9842294026289558,0.0
0.178,-1.9645745014573772,0.0
0.179,-1.9371663222572622,0.0
0.18,-1.9021130325903073,0.0
0.181,-1.8595529717765025,0.0
0.182,-1.8096541049320392,0.0
0.183,-1.7526133600877267,0.0
0.184,-1.68865585100403,0.0
0.185,-1.618033988749894,0.0
0.186,-1.541026485551578,0.0
0.187,-1.457937254842823,0.0
0.188,-1.3690942118573766,0.0
0.189,-1.2748479794973793,0.0
0.19,-1.1755705045849452,0.0
0.191,-1.0716535899579926,0.0
0.192,-0.9635073482034306,0.0
0.193,-0.8515585831301444,0.0
0.194,-0.7362491053693557,0.0
0.195,-0.6180339887498936,0.0
0.196,-0.497379774329709,0.0
0.197,-0.37476262917144937,0.0
0.198,-0.2506664671286076,0.0
0.199,-0.12558103905862653,0.0
0.2,0.0,0.0
0.201,0.12558103905862675,0.0
0.202,0.2506664671286085,0.0
0.203,0.37476262917144926,0.0
0.20400000000000001,0.4973797743297096,0.0
0.20500000000000002,0.6180339887498948,0.0
0.20600000000000002,0.736249105369356,0.0
0.20700000000000002,0.8515585831301454,0.0
0.20800000000000002,0.9635073482034306,0.0
0.209,1.0716535899579933,0.0
0.21,1.1755705045849463,0.0
0.211,1.2748479794973795,0.0
0.212,1.3690942118573775,0.0
0.213,1.457937254842823,0.0
0.214,1.5410264855515785,0.0
0.215,1.618033988749895,0.0
0.216,1.6886558510040302,0.0
0.217,1.7526133600877274,0.0
0.218,1.8096541049320392,0.0
0.219,1.859552971776503,0.0
0.22,1.902113032590307,0.0
0.221,1.9371663222572622,0.0
0.222,1.9645745014573774,0.0
0.223,1.9842294026289558,0.0
0.224,1.9960534568565431,0.0
0.225,2.0,0.0
0.226,1.9960534568565431,0.0
0.227,1.9842294026289555,0.0
0.228,1.9645745014573772,0.0
0.229,1.9371663222572622,0.0
0.23,1.902113032590307,0.0
0.231,1.859552971776503,0.0
0.232,1.809654104932039,0.0
0.233,1.752613360087727,0.0
0.234,1.68865585100403,0.0
0.23500000000000001,1.618033988749895,0.0
0.23600000000000002,1.5410264855515785,0.0
0.23700000000000002,1.4579372548428229,0.0
0.23800000000000002,1.369094211857377,0.0
0.23900000000000002,1.274847979497379,0.0
0.24,1.1755705045849465,0.0
0.241,1.0716535899579933,0.0
0.242,0.9635073482034304,0.0
0.243,0.851558583130145,0.0
0.244,0.7362491053693555,0.0
0.245,0.6180339887498942,0.0
0.246,0.49737977432970965,0.0
0.247,0.37476262917144915,0.0
0.248,0.2506664671286082,0.0
0.249,0.12558103905862628,0.0
0.25,-6.432490598706546e-16,0.0
0.251,-0.1255810390586267,0.0
0.252,-0.25066646712860857,0.0
0.253,-0.37476262917144954,0.0
0.254,-0.49737977432971003,0.0
0.255,-0.6180339887498955,0.0
0.256,-0.7362491053693566,0.0
0.257,-0.8515585831301453,0.0
0.258,-0.9635073482034308,0.0
0.259,-1.0716535899579935,0.0
0.26,-1.1755705045849467,0.0
0.261,-1.27484797949738,0.0
0.262,-1.3690942118573775,0.0
0.263,-1.457937254842823,0.0
0.264,-1.5410264855515787,0.0
0.265,-1.6180339887498947,0.0
0.266,-1.6886558510040306,0.0
0.267,-1.7526133600877272,0.0
0.268,-1.8096541049320396,0.0
0.269,-1.859552971776503,0.0
0.27,-1.902113032590307,0.0
0.271,-1.9371663222572624,0.0
0.272,-1.9645745014573774,0.0
0.273,-1.9842294026289558,0.0
0.274,-1.9960534568565431,0.0
0.275,-2.0,0.0
0.276,-1.9960534568565431,0.0
0.277,-1.9842294026289558,0.0
0.278,-1.9645745014573772,0.0
0.279,-1.9371663222572622,0.0
0.28,-1.9021130325903073,0.0
0.281,-1.8595529717765025,0.0
0.28200000000000003,-1.8096541049320392,0.0
0.28300000000000003,-1.7526133600877267,0.0
0.28400000000000003,-1.68865585100403,0.0
0.28500000000000003,-1.618033988749894,0.0
0.28600000000000003,-1.541026485551578,0.0
0.28700000000000003,-1.457937254842823,0.0
0.28800000000000003,-1.3690942118573766,0.0
0.289,-1.2748479794973793,0.0
